name,rating,actor
Maqbool,8.1,"Vishal Bhardwaj (dir.), Irrfan Khan, Tabu"
Masaan,8.1,"Neeraj Ghaywan (dir.), Richa Chadha, Sanjay Mishra"
Theeran Adhigaaram Ondru,8.1,"H. Vinoth (dir.), Karthi, Rakul Preet Singh"
Baasha,8.0,"Suresh Krishna (dir.), Rajinikanth, Nagma"
Omkara,8.0,"Vishal Bhardwaj (dir.), Ajay Devgn, Saif Ali Khan"
The Legend of Bhagat Singh,8.0,"Rajkumar Santoshi (dir.), Ajay Devgn, Sushant Singh"
Barfi!,8.0,"Anurag Basu (dir.), Ranbir Kapoor, Priyanka Chopra"
Lage Raho Munna Bhai,8.0,"Rajkumar Hirani (dir.), Sanjay Dutt, Arshad Warsi"
Bommarillu,8.0,"Bhaskar (dir.), Siddharth, Genelia D'Souza"
Bombay,8.0,"Mani Ratnam (dir.), Arvind Swamy, Manisha Koirala"
Ugly,8.0,"Anurag Kashyap (dir.), Rahul Bhat, Ronit Roy"
Deewaar,8.0,"Yash Chopra (dir.), Amitabh Bachchan, Shashi Kapoor"
Dilwale Dulhania Le Jayenge,8.0,"Aditya Chopra (dir.), Shah Rukh Khan, Kajol"
Mother India,8.0,"Mehboob Khan (dir.), Nargis, Sunil Dutt"
Gulaal,8.0,"Anurag Kashyap (dir.), Kay Kay Menon, Raj Singh Chaudhary"
Baahubali 2: The Conclusion,8.0,"S.S. Rajamouli (dir.), Prabhas, Rana Daggubati"
Lucia,8.0,"Pawan Kumar (dir.), Sathish Neenasam, Sruthi Hariharan"
Haider,8.0,"Vishal Bhardwaj (dir.), Shahid Kapoor, Tabu"
Dev.D,8.0,"Anurag Kashyap (dir.), Abhay Deol, Mahie Gill"
Athadu,8.0,"Trivikram Srinivas (dir.), Mahesh Babu, Trisha Krishnan"
Indian,8.0,"S. Shankar (dir.), Kamal Haasan, Sukanya"
Vedam,8.0,"Radha Krishna Jagarlamudi (dir.), Manoj Kumar Manchu, Allu Arjun"
Special Chabbis,8.0,"Neeraj Pandey (dir.), Akshay Kumar, Anupam Kher"
Company,7.9,"Ram Gopal Varma (dir.), Ajay Devgn, Mohanlal"
Badhaai Ho,7.9,"Amit Ravindernath Sharma (dir.), Ayushmann Khurrana, Sanya Malhotra"
Vaastav: The Reality,7.9,"Mahesh Manjrekar (dir.), Sanjay Dutt, Namrata Shirodkar"
Ship of Theseus,7.9,"Anand Gandhi (dir.), Aida Elkashef, Yogesh Shah"
Bajrangi Bhaijaan,7.9,"Kabir Khan (dir.), Salman Khan, Harshaali Malhotra"
Manjhi: The Mountain Man,7.9,"Ketan Mehta (dir.), Nawazuddin Siddiqui, Radhika Apte"
K.G.F: Chapter 1,7.9,"Prashanth Neel (dir.), Yash, Srinidhi Shetty"
Ankhon Dekhi,7.9,"Rajat Kapoor (dir.), Sanjay Mishra, Seema Bhargava"
Pizza,7.9,"Karthik Subbaraj (dir.), Vijay Sethupathi, Ramya Nambeeshan"
Jab We Met,7.9,"Imtiaz Ali (dir.), Shahid Kapoor, Kareena Kapoor"
Padman,7.9,"R. Balki (dir.), Akshay Kumar, Radhika Apte"
Airlift,7.9,"Raja Menon (dir.), Akshay Kumar, Nimrat Kaur"
Kal Ho Naa Ho,7.9,"Nikkhil Advani (dir.), Preity Zinta, Shah Rukh Khan"
Hey Ram,7.9,"Kamal Haasan (dir.), Kamal Haasan, Shah Rukh Khan"
Baby,7.9,"Neeraj Pandey (dir.), Akshay Kumar, Danny Denzongpa"
Secret Superstar,7.9,"Advait Chandan (dir.), Zaira Wasim, Meher Vij"
My Name Is Khan,7.9,"Karan Johar (dir.), Shah Rukh Khan, Kajol"
Vaaranam Aayiram,7.9,"Gautham Menon (dir.), Suriya, Simran"
Rangasthalam,7.8,"Sukumar (dir.), Ram Charan, Samantha Ruth Prabhu"
Lakshya,7.8,"Farhan Akhtar (dir.), Amitabh Bachchan, Hrithik Roshan"
Bahubali: The Beginning,7.8,"S.S. Rajamouli (dir.), Prabhas, Rana Daggubati"
Border,7.8,"J.P. Dutta (dir.), Sunny Deol, Jackie Shroff"
Ab Tak Chhappan,7.8,"Shimit Amin (dir.), Nana Patekar, Revathy"
Vettaiyaadu Vilaiyaadu,7.8,"Gautham Menon (dir.), Kamal Haasan, Jyothika"
Gangaajal,7.8,"Prakash Jha (dir.), Ajay Devgn, Gracy Singh"
Johnny Gaddaar,7.8,"Sriram Raghavan (dir.), Dharmendra, Rimi Sen"
English Vinglish,7.8,"Gauri Shinde (dir.), Sridevi, Adil Hussain"
Manam,7.8,"Vikram K. Kumar (dir.), Akkineni Nageshwara Rao, Nagarjuna Akkineni"
Okkadu,7.8,"Gunasekhar (dir.), Mahesh Babu, Bhoomika Chawla"
Rock On!!,7.8,"Abhishek Kapoor (dir.), Arjun Rampal, Farhan Akhtar"
Ulidavaru Kandanthe,7.8,"Rakshit Shetty (dir.), Kishore Kumar G., Rakshit Shetty"
Dabba,7.8,"Ritesh Batra (dir.), Irrfan Khan, Nimrat Kaur"
Don,7.8,"Chandra Barot (dir.), Amitabh Bachchan, Zeenat Aman"
Mr. India,7.8,"Shekhar Kapur (dir.), Anil Kapoor, Sridevi"
